id,nombre,posX,posY,esCiclovia,creador,esVerificado
97,Ma esa Galo Plaza,8508.23,4201.85,false,admin,false
98,Galo Plaza - Intercambiador Panamericana Norte,9090.9,3426.26,false,admin,false
99,N76 Panamericana Norte,9383.92,3251.75,false,admin,false
100,Panamericana Norte - Conjunto Verona,9612.45,3429.79,false,admin,false
101,Panamericana Norte - La Bota,9915.39,4382.01,false,admin,false
102,Redondel Panamericana Norte y Simon Bolivar,10143.92,4489.19,false,admin,false
103,Panamericana Norte El Portal,10454.82,4451.76,false,admin,false
104,Portugal y Shyris,8004.02,11193.85,false,admin,false
105,Eloy Alfaro y Gaspar,8996.93,10378.17,false,admin,false
106,F.Urrutia y Guanguiltagua,9061.6,10479.83,false,admin,false
107,Guanguiltagua y Diego Novoa,8871.56,11051.56,false,admin,false
108,entrada metropolitano,9030.8,10980.36,false,admin,false
109,Naciones Unidas y 10 de Agosto,7422.2275390625,10640.26953125,false,admin,false
110,Plaza de las Americas,6971.8251953125,10587.75,false,admin,false
112,America y Cuero y Caicedo,6614.580078125,11989.7001953125,false,admin,false
115,Shyrus y Suecia,8046.580078125,11013.7001953125,false,admin,false
116,Amazonas y Mariana de Jesus,7424.73779296875,11997.8994140625,true,admin,false
117,Shyrys y Gaspar de Villaroel,8196.087890625,10148.3916015625,false,admin,false
119,Parque de Colores,8954.775390625,10803.4443359375,false,admin,false
120,Portugal y Eloy Alfaro,8584.580078125,11215.7001953125,false,admin,false
121,Portugal y 6 de Diciembre,8301.580078125,11265.7001953125,false,admin,false
