idInicio,idFinal,pendiente,agregadaPor,esVerificada,esCiclovia,distancia,ponderacionRapidez,ponderacionCiclovia,ponderacionPendiente,nombreRuta,tieneIncidente
16,15,-3.0,admin,false,false,209.29844665527344,0.27271166,0.8242372,0.3348446,De Y El inca y de las palmeras a Redondel Eloy Alfaro y El Inca,false
16,17,3.0,admin,false,false,896.3641967773438,0.61140287,0.90380096,0.6611841,De Y El inca y de las palmeras a El Inca y 6 de diciembre,false
17,16,-3.0,admin,false,false,896.3641967773438,0.5114029,0.90380096,0.3945174,De El Inca y 6 de diciembre a Y El inca y de las palmeras,false
17,44,-2.8,admin,false,true,773.0191650390625,0.37188533,0.08951733,0.34269354,De El Inca y 6 de diciembre a Amazonas y El Inca,false
17,18,2.0,admin,false,true,495.1668701171875,0.3553576,0.057341423,0.5318949,De El Inca y 6 de diciembre a 6 de diciembre y Shyris,false
18,17,-2.0,admin,false,true,495.1668701171875,0.28869092,0.057341423,0.35411718,De 6 de diciembre y Shyris a El Inca y 6 de diciembre,false
18,20,2.0,admin,false,false,310.0954284667969,0.39106256,0.8359097,0.5658212,De 6 de diciembre y Shyris a Rio Coca y Shyris,false
18,19,2.0,admin,false,true,391.78582763671875,0.31944233,0.045369666,0.52291614,De 6 de diciembre y Shyris a 6 de diciembre y Rio Coca,false
19,18,-2.0,admin,false,true,391.78582763671875,0.25277567,0.045369666,0.34513837,De 6 de diciembre y Rio Coca a 6 de diciembre y Shyris,false
19,20,-3.0,admin,false,false,309.82672119140625,0.30763587,0.8358786,0.34357563,De 6 de diciembre y Rio Coca a Rio Coca y Shyris,false
19,14,3.0,admin,false,false,683.0244750976562,0.53728724,0.87909573,0.64265513,De 6 de diciembre y Rio Coca a Eloy Alfaro y Rio Coca,false
19,5,-1.8,admin,false,false,565.5034790039062,0.41645965,0.86548656,0.4191149,De 6 de diciembre y Rio Coca a 6 de diciembre y Granados,false
20,18,-2.0,admin,false,false,310.0954284667969,0.3243959,0.8359097,0.38804343,De Rio Coca y Shyris a 6 de diciembre y Shyris,false
20,21,-3.0,admin,false,false,436.3860168457031,0.35160342,0.85053444,0.35456753,De Rio Coca y Shyris a Rio Coca y Amazonas,false
20,19,3.0,admin,false,false,309.82672119140625,0.40763587,0.8358786,0.6102423,De Rio Coca y Shyris a 6 de diciembre y Rio Coca,false
20,117,2.0,admin,false,false,696.587646484375,0.5253325,0.8806664,0.59938866,De Rio Coca y Shyris a Shyrys y Gaspar de Villaroel,false
21,45,-1.5,admin,false,true,186.36451721191406,0.18974426,0.021581424,0.3495194,De Rio Coca y Amazonas a KFC el Inca,false
21,46,1.5,admin,false,true,230.347900390625,0.25502437,0.026674798,0.48667276,De Rio Coca y Amazonas a Estación Jipijapa,false
